,time,open,high,low,close,volume
6489,2022-11-09 16:54:00,176.6519,176.78,176.63,176.75,5422
6490,2022-11-09 16:53:00,176.81,176.81,176.7027,176.7027,11364
6491,2022-11-09 16:52:00,176.94,176.94,176.71,176.85,11037
6492,2022-11-09 16:51:00,176.55,176.94,176.51,176.9399,17826
6493,2022-11-09 16:50:00,176.4,176.7,176.4,176.7,25061
6494,2022-11-09 16:49:00,176.85,176.85,176.4,176.4,22034
6495,2022-11-09 16:48:00,177.04,177.05,176.729,176.77,40444
6496,2022-11-09 16:47:00,177.04,177.07,177.04,177.07,7078
6497,2022-11-09 16:46:00,177.07,177.07,177.01,177.04,12332
6498,2022-11-09 16:45:00,177.09,177.09,177.03,177.07,7783
6499,2022-11-09 16:44:00,177.22,177.22,177.01,177.1,6891
6500,2022-11-09 16:43:00,177.2,177.2939,177.17,177.2939,4799
6501,2022-11-09 16:42:00,177.1,177.2,177.0604,177.15,8690
6502,2022-11-09 16:41:00,177.1011,177.2,177.03,177.1,20775
6503,2022-11-09 16:40:00,177.2,177.2,177.1,177.1,7590
6504,2022-11-09 16:39:00,177.22,177.3685,177.12,177.1366,25211
6505,2022-11-09 16:38:00,177.35,177.4,177.2,177.23,20742
6506,2022-11-09 16:37:00,177.36,177.37,177.25,177.25,12586
6507,2022-11-09 16:36:00,177.4,177.45,177.3,177.3,10170
6508,2022-11-09 16:35:00,177.43,177.4724,177.4,177.4,5454
6509,2022-11-09 16:34:00,177.47,177.48,177.4,177.41,4272
6510,2022-11-09 16:33:00,177.4,177.47,177.3727,177.47,4635
6511,2022-11-09 16:32:00,177.48,177.48,177.4,177.41,7462
6512,2022-11-09 16:31:00,177.44,177.45,177.4,177.42,5695
6513,2022-11-09 16:30:00,177.45,177.5,177.44,177.44,5210
6514,2022-11-09 16:29:00,177.45,177.5,177.4218,177.48,6769
6515,2022-11-09 16:28:00,177.45,177.5,177.45,177.49,5238
6516,2022-11-09 16:27:00,177.42,177.5,177.4,177.45,4332
6517,2022-11-09 16:26:00,177.38,177.47,177.3,177.4016,24815
6518,2022-11-09 16:25:00,177.46,177.46,177.3,177.44,11879
6519,2022-11-09 16:24:00,177.58,177.6,177.46,177.5,16106
6520,2022-11-09 16:23:00,177.59,177.65,177.53,177.65,9105
6521,2022-11-09 16:22:00,177.58,177.61,177.55,177.55,5813
6522,2022-11-09 16:21:00,177.65,177.65,177.54,177.56,5505
6523,2022-11-09 16:20:00,177.58,177.6234,177.45,177.62,20234
6524,2022-11-09 16:19:00,177.65,177.67,177.52,177.52,7533
6525,2022-11-09 16:18:00,177.69,177.7,177.6,177.61,11793
6526,2022-11-09 16:17:00,177.78,177.87,177.6123,177.7,7312
6527,2022-11-09 16:16:00,177.72,177.87,177.71,177.87,9153
6528,2022-11-09 16:15:00,177.86,178.0,177.71,177.79,7818
6529,2022-11-09 16:14:00,177.9,177.9,177.8,177.86,8450
6530,2022-11-09 16:13:00,177.8586,178.1,177.8586,177.9,8247
6531,2022-11-09 16:12:00,178.1,178.1,177.9,178.0,7076
6532,2022-11-09 16:11:00,178.19,178.29,178.01,178.03,13825
6533,2022-11-09 16:10:00,178.19,178.2,178.01,178.13,28343
6534,2022-11-09 16:09:00,177.9983,178.11,177.59,178.1,74424
6535,2022-11-09 16:08:00,178.28,178.28,177.98,178.0,20249
6536,2022-11-09 16:07:00,178.13,178.3,177.59,178.29,47027
6537,2022-11-09 16:06:00,178.19,178.29,177.59,178.1,27885
6538,2022-11-09 16:05:00,178.24,178.38,178.1,178.2985,26120
6539,2022-11-09 16:04:00,178.16,178.25,178.02,178.24,14868
6540,2022-11-09 16:03:00,178.2615,178.2615,177.59,178.19,163565
6541,2022-11-09 16:02:00,177.87,178.1,177.59,177.59,51780
6542,2022-11-09 16:01:00,177.62,177.87,177.26,177.87,372237
6543,2022-11-09 16:00:00,177.71,177.81,177.54,177.6,1152089
6544,2022-11-09 15:59:00,177.63,177.75,177.57,177.71,621569
6545,2022-11-09 15:58:00,177.48,177.72,177.48,177.63,479015
6546,2022-11-09 15:57:00,177.3,177.6975,177.12,177.4606,485337
6547,2022-11-09 15:56:00,177.49,177.5,177.13,177.3075,603675
6548,2022-11-09 15:55:00,177.975,178.02,177.43,177.45,461746
6549,2022-11-09 15:54:00,178.11,178.33,177.96,177.97,401713
6550,2022-11-09 15:53:00,177.99,178.25,177.99,178.105,389059
